Overall Rank,Name,Position,Position Rank,Team,Receptions,Receiving Yards,Receiving TDs,Rushing Yards,Rushing Touchdowns,Passing Yards,Passing Touchdowns,Turnovers,Total Fantasy Points,Tier
115,KC Concepcion,WR,50,Cleveland Browns,,,,,,,,,,8
119,Rashid Shaheed,WR,51,Seattle Seahawks,,,,,,,,,,8
120,Xavier Worthy,WR,52,Kansas City Chiefs,65.5,875.5,6.5,65.5,1.5,0,0,4,170.85,8
123,Michael Pittman,WR,53,Pittsburgh Steelers,57.5,750.5,3.5,0,0,0,0,4,120.8,8
124,Khalil Shakir,WR,54,Buffalo Bills,57.5,775.5,4,0,0,0,0,4,126.3,8
130,Parker Washington,WR,55,Jacksonville Jaguars,,,,,,,,,,9
133,Jayden Higgins,WR,56,Houston Texans,,,,,,,,,,9
134,Jalen Coker,WR,57,Carolina Panthers,,,,,,,,,,9
139,Josh Downs,WR,58,Indianapolis Colts,52.5,675.5,3.5,0,0,0,0,4,110.8,9
150,Matthew Golden,WR,59,Green Bay Packers,,,,,,,,,,9
